,No,total land-terminating margin [km],Near-vertical fraction [%],Near-vertical fraction (steep terrain) [%],Steep fraction [%],Shallow fraction [%],NA [%]
SE,121,625.9,7.66,24.87,0.00,0.00,67.46
SE,125,1123,28.80,18.43,4.56,9.54,38.68
SE,126,1132,28.75,21.96,5.81,5.27,38.21
SE,128,511.6,32.07,21.36,10.89,6.53,29.14
SE,186,37,4.10,0.17,9.72,24.21,61.79
SE,187,56.4,5.80,0.73,9.02,37.34,47.12
SE,188,47.4,5.84,2.23,17.59,18.26,56.08
SE,189,114.7,7.88,1.34,20.49,42.76,27.53
SE,190,297.5,23.96,17.85,21.05,6.63,30.51
SE,191,208.3,17.58,1.12,31.46,38.47,11.38
SE,192,43.2,2.98,0.00,9.32,52.69,35.01
SE,193,697.2,24.79,15.24,3.09,5.87,51.00
SE,199,67.6,22.08,4.64,8.58,6.15,58.56
SE,200,40,16.63,0.00,8.63,3.87,70.86
SE,201,72.4,6.20,0.00,13.54,19.39,60.87
SE,202,297.2,18.24,0.38,7.34,14.15,59.89
SE,209,84,19.27,1.62,0.00,0.00,79.11
SE,210,353.6,13.72,35.32,13.93,1.60,35.43
SE,211,17.1,14.86,0.00,25.92,37.05,22.17
SE,212,25.1,6.09,0.00,5.99,52.10,35.81
SE,213,16.2,0.00,0.00,0.00,17.66,82.34
SE,231,466.4,7.59,32.87,0.87,0.00,58.67
SE,233,293.2,35.06,16.54,11.93,5.60,30.87
SE,237,55,8.18,1.01,18.46,4.08,68.26
SE,243,437.2,22.24,29.02,5.76,6.52,36.46
TOTAL SE,,16587.4,21.97,24.65,5.58,7.28,40.51
,,,,,,,
SW,11,162.7,14.67,0.00,25.32,58.12,1.89
SW,12,86.7,15.16,0.14,25.27,59.18,0.25
SW,13,154.4,13.79,0.38,19.87,62.81,3.15
SW,14,116.2,17.79,1.87,15.98,38.78,25.59
SW,15,165.7,11.59,0.00,15.26,53.34,19.81
SW,16,82.8,17.10,0.00,20.00,42.12,20.77
SW,17,881.8,30.12,10.18,14.89,28.81,16.01
SW,18,1268.1,20.39,1.96,9.09,30.27,38.29
SW,19,128.2,9.00,0.00,17.89,62.48,10.63
SW,20,388.5,33.82,0.12,16.39,25.50,24.16
SW,21,568.2,27.80,4.90,11.33,29.59,26.38
SW,22,423.2,17.55,3.07,8.21,22.85,48.32
SW,40,654.2,14.11,0.06,15.61,63.81,6.41
SW,69,128.9,15.47,0.00,17.91,51.68,14.95
SW,70,886.1,29.19,3.63,16.94,38.15,12.09
SW,71,165.8,7.93,0.00,17.53,70.58,3.96
SW,130,141.2,27.70,9.75,15.47,25.54,21.55
SW,131,397,32.95,2.78,14.52,20.82,28.92
SW,132,24.4,1.92,0.00,6.64,0.00,91.44
SW,133,71,30.02,1.02,9.14,13.73,46.10
SW,134,58.9,15.63,8.99,10.42,19.22,45.74
SW,135,23.4,21.83,2.87,6.08,14.56,54.65
SW,136,20.3,0.00,0.00,0.00,9.62,90.38
SW,137,72,17.67,0.36,17.57,54.27,10.13
TOTAL SW,,7069.8,22.84,3.16,14.13,37.01,22.87
,,,,,,,
PGIC CW,300,13976.6,35.88,20.61,15.35,17.15,11.02
PGIC NW,301,5296,23.29,4.78,19.19,27.63,25.12
PGIC NO W,302,2504.9,16.11,1.14,15.53,22.18,45.05
PGIC NO C,303,5261.3,17.12,2.05,25.42,30.53,24.88
PGIC NO E,304,11805.4,16.53,4.44,29.67,45.25,4.12
PGIC NE N,305,10900.8,18.27,12.74,23.88,34.32,10.79
PGIC NE C,306,9741.6,21.84,7.19,32.21,28.01,10.74
PGIC NE S,307,28565.6,28.41,32.35,14.46,10.85,13.93
PGIC CE N,308,12618.8,30.43,22.36,13.99,10.65,22.57
PGIC CE C,309,25310.1,34.92,38.16,5.09,7.7,14.13
PGIC CE S,310,9147.6,39.12,39.23,5.42,4.05,12.18
PGIC SE N,311,7694.9,38.53,40.41,5.40,4.94,10.72
PGIC SE C,312,7990.2,37.94,27.3,10.61,4.92,19.22
PGIC SE S,313,8565.4,33.09,34.25,9.32,5.14,18.2
PGIC SW S,314,3339.9,37.1,9.84,21.73,18.02,13.3
PGIC SW N,315,8059.5,36.27,19.76,11.88,12.54,19.55
TOTAL GrIS,,70912.5,24.75,16.09,9.53,20.19,29.44
TOTAL PGIC,,170624.8,29.87,24.21,14.96,16.05,14.92
TOTAL,,241537.3,28.37,21.83,13.37,17.26,19.18
