,No,total margin [km],land-terminating margin [km],marine-terminating margin [km],lake-terminating margin [km],adjacent periphery [km],fraction of total [%],land fraction [%],marine fraction [%],lake fraction [%]
SE,201,74,72.4 (42.2),0,1.6,5.7,0.1,97.84,0,2.16
SE,202,325.2,297.2 (173.8),19.9,8.2,45.7,0.43,91.39,6.12,2.52
SE,209,90.1,84.0 (4.2),6.2,0,22.7,0.12,93.23,6.88,0
SE,210,360,353.6 (0.5),6.3,0,26.5,0.47,98.22,1.75,0
SE,211,23.2,17.1 (3.8),6,0,0,0.03,73.71,25.86,0
SE,212,34.9,25.1 (9.0),8.3,1.5,0,0.05,71.92,23.78,4.3
SE,213,31.1,16.2 (2.6),14.9,0,0,0.04,52.09,47.91,0
SE,231,473,466.4 (1.4),6.7,0,3.9,0.62,98.6,1.42,0
SE,233,303.5,293.2 (25.2),9.6,0.7,18.4,0.4,96.61,3.16,0.23
SE,237,83.6,55.0 (16.2),28.6,0,0,0.11,65.79,34.12,0
SE,243,457.1,437.2 (24.7),19.5,0.4,13.2,0.6,95.65,4.27,0.09
TOTAL SE,,17219.4,16590.5 (1189.4),576.8,52.1,1165.5,22.61,96.35,3.35,0.3
SW,11,173.7,162.7 (2.4),4.2,6.9,0,0.23,93.67,2.43,3.97
SW,12,93.5,86.7 (0),0,6.8,0,0.12,92.73,0,7.27
SW,13,173,154.4 (3.5),0.7,17.8,0,0.23,89.25,0.4,10.29
SW,14,147.3,116.2 (8.5),10.8,20.4,0,0.19,78.89,7.33,13.85
SW,15,171.3,165.7 (18.3),3.7,1.9,0,0.22,96.73,2.16,1.11
SW,16,94,82.8 (9.2),7.4,3.8,0,0.12,88.09,7.87,4.04
SW,17,914.3,881.8 (18.7),0,32.5,62.2,1.2,96.45,0,3.55
SW,18,1385.2,1268.1 (359.3),3.2,113.8,85.5,1.82,91.55,0.23,8.22
SW,19,148.4,128.2 (12.8),4.6,15.6,0,0.19,86.39,3.1,10.51
SW,20,428.9,390.4 (64.2),6.1,32.4,1.1,0.56,91.02,1.42,7.55
SW,21,588.3,568.2 (30.1),5.6,14.6,15.5,0.77,96.58,0.95,2.48
SW,22,464.8,423.2 (101.1),14.8,26.7,3.6,0.61,91.05,3.18,5.74
SW,40,751.3,654.2 (9.3),0.8,96.2,15.9,0.99,87.08,0.11,12.8
SW,69,177.7,128.9 (5.9),10.3,38.4,0.3,0.23,72.54,5.8,21.61
SW,70,1016.4,886.1 (56.0),13,117.3,2.3,1.32,87.18,1.28,11.54
SW,71,178.6,165.8 (6.2),0,12.8,0,0.23,92.83,0,7.17
SW,130,145.2,141.2 (15.3),0,4,1.7,0.19,97.25,0,2.75
SW,131,433.4,397.0 (111.2),3,33.4,0.7,0.57,91.6,0.69,7.71
SW,132,27.3,24.4 (22.3),1.8,1.1,0,0.04,89.38,6.59,4.03
SW,133,79.1,71.0 (32.5),0,8.1,0,0.1,89.76,0,10.24
SW,134,62.5,58.9 (26.4),3.5,0,0,0.08,94.24,5.6,0
SW,135,28.5,23.4 (12.8),5.1,0,0,0.04,82.11,17.89,0
SW,136,22.9,20.3 (15.6),2.4,0.2,0,0.03,88.65,10.48,0.87
SW,137,79.7,72.0 (4.6),0,7.7,0,0.1,90.34,0,9.66
TOTAL SW,,7785.3,7071.6,101,612.4,176.5,10.22,90.83,1.3,7.87
PGIC CW,300,14078.1,13976.6 (268.9),54.4,37.4,126.4,8.07,99.35,0.39,0.27
PGIC NW,301,5638.6,5296.0 (1246.8),261.8,80.9,138.9,3.23,93.92,4.64,1.43
PGIC NO W,302,2562.4,2504.9 (1084.8),29.1,28.5,1.8,1.47,97.76,1.14,1.11
PGIC NO C,303,5399.1,5261.3 (1040.8),78,59.8,54.9,3.1,97.45,1.44,1.11
PGIC NO E,304,12170.1,11805.4 (192.9),191.7,172.9,11.5,6.98,97,1.58,1.42
PGIC NE N,305,11497.9,10900.8 (915.3),412.6,184.5,11.3,6.6,94.81,3.59,1.6
PGIC NE C,306,9823.1,9741.6 (593.5),16.2,65.2,846.2,5.63,99.17,0.16,0.66
PGIC NE S,307,28565.6,28411.8 (411.7),99.2,54.6,1002,16.38,99.46,0.35,0.19
PGIC CE N,308,12689.9,12618.8 (372.9),30.5,40.6,278.9,7.27,99.44,0.24,0.32
PGIC CE C,309,25614.8,25310.1 (270.0),278.7,26,545.7,14.69,98.81,1.09,0.1
PGIC CE S,310,9504.8,9147.6 (122),352.2,5.1,522,5.45,96.24,3.71,0.05
PGIC SE N,311,7786.1,7694.9 (163.8),81.4,9.8,1202.3,4.46,98.83,1.05,0.13
PGIC SE C,312,8596.7,7990.2 (172),601.3,5.3,637.8,4.91,92.94,6.99,0.06
PGIC SE S,313,8884.4,8565.4 (376),297.5,21.5,309.5,5.09,96.41,3.35,0.24
PGIC SW S,314,3382.2,3339.9 (287.2),1,41.4,189.7,1.94,98.75,0.03,1.22
PGIC SW N,315,8241.3,8059.5 (791.8),57.7,124.1,17.7,4.72,97.79,0.7,1.51
TOTAL GrIS,,76154.2,70912.5 (5957.7),2738.9,2501.8,4160,30.39,93.12,3.6,3.29
TOTAL PGIC,,174425.4,170624.8 (8410.4),2843.3,957.6,5896.6,69.61,97.82,1.63,0.55
TOTAL,,250579.6,241537.3 (14368.1),5582.2,3459.4,10056.6,,96.39,2.23,1.38
